Date,A2,gw_index,salinity,salinity_index,gw_suitability_index,sw_suitability_index,water_suitability_index
1970-04-19,14.40525753,0.0,0.0,1.0,0.0,,0.0
1970-04-20,14.40633831,0.0,0.0,1.0,0.0,,0.0
1970-04-21,14.40741908,0.0,0.0,1.0,0.0,,0.0
1970-04-22,14.40849986,0.0,0.0,1.0,0.0,0.622857142857,0.622857142857
1970-04-23,14.40958064,0.0,0.0,1.0,0.0,0.622857142857,0.622857142857
1970-04-24,14.41066141,0.0,0.0,1.0,0.0,0.622857142857,0.622857142857
1970-04-25,14.41174219,0.0,0.0,1.0,0.0,0.622857142857,0.622857142857
1970-04-26,14.41282297,0.0,0.0,1.0,0.0,0.622857142857,0.622857142857
1970-04-27,14.41390374,0.0,0.0,1.0,0.0,0.622857142857,0.622857142857
1970-04-28,14.41498452,0.0,0.0,1.0,0.0,0.622857142857,0.622857142857
1970-04-29,14.4160653,0.0,0.0,1.0,0.0,0.622857142857,0.622857142857
1970-04-30,14.41714607,0.0,0.0,1.0,0.0,0.622857142857,0.622857142857
1970-05-01,14.41822685,0.0,0.0,1.0,0.0,0.622857142857,0.622857142857
1970-05-02,14.41930763,0.0,0.0,1.0,0.0,0.622857142857,0.622857142857
1970-05-03,14.4203884,0.0,0.0,1.0,0.0,0.622857142857,0.622857142857
1970-05-04,14.42146918,0.0,0.0,1.0,0.0,0.622857142857,0.622857142857
1970-05-05,14.42254996,0.0,0.0,1.0,0.0,0.622857142857,0.622857142857
1970-05-06,14.42363073,0.0,0.0,1.0,0.0,0.622857142857,0.622857142857
1970-05-07,14.42471151,0.0,0.0,1.0,0.0,0.622857142857,0.622857142857
1970-05-08,14.42579229,0.0,0.0,1.0,0.0,0.622857142857,0.622857142857
1970-05-09,14.42687307,0.0,0.0,1.0,0.0,0.622857142857,0.622857142857
1970-05-10,14.42795384,0.0,0.0,1.0,0.0,0.622857142857,0.622857142857
1970-05-11,14.42903462,0.0,0.0,1.0,0.0,0.622857142857,0.622857142857
1970-05-12,14.4301154,0.0,0.0,1.0,0.0,0.622857142857,0.622857142857
1970-05-13,14.43119617,0.0,0.0,1.0,0.0,0.622857142857,0.622857142857
1970-05-14,14.43227695,0.0,0.0,1.0,0.0,,0.0
1970-05-15,14.43335773,0.0,0.0,1.0,0.0,,0.0
1970-05-16,14.4344385,0.0,0.0,1.0,0.0,,0.0
1970-05-17,14.43551928,0.0,0.0,1.0,0.0,,0.0
1970-05-18,14.43660006,0.0,0.0,1.0,0.0,,0.0
1970-05-19,14.43768083,0.0,0.0,1.0,0.0,,0.0
1970-05-20,14.43876161,0.0,0.0,1.0,0.0,,0.0
1970-05-21,14.43984239,0.0,0.0,1.0,0.0,,0.0
1970-05-22,14.44,0.0,0.0,1.0,0.0,,0.0
1970-05-23,14.44,0.0,0.0,1.0,0.0,,0.0
1970-05-24,14.44,0.0,0.0,1.0,0.0,,0.0
1970-05-25,14.44,0.0,0.0,1.0,0.0,,0.0
1970-05-26,14.44,0.0,0.0,1.0,0.0,,0.0
1970-05-27,14.44,0.0,0.0,1.0,0.0,,0.0
1970-05-28,14.44,0.0,0.0,1.0,0.0,,0.0
1970-05-29,14.44,0.0,0.0,1.0,0.0,,0.0
1970-05-30,14.44,0.0,0.0,1.0,0.0,,0.0
1970-05-31,14.44,0.0,0.0,1.0,0.0,,0.0
1970-06-01,14.44,0.0,0.0,1.0,0.0,,0.0
1970-06-02,14.44,0.0,0.0,1.0,0.0,,0.0
1970-06-03,14.44,0.0,0.0,1.0,0.0,,0.0
1970-06-04,14.44,0.0,0.0,1.0,0.0,,0.0
1970-06-05,14.44,0.0,0.0,1.0,0.0,,0.0
1970-06-06,14.44,0.0,0.0,1.0,0.0,,0.0
1970-06-07,14.44,0.0,0.0,1.0,0.0,,0.0
1970-06-08,14.44,0.0,0.0,1.0,0.0,,0.0
1970-06-09,14.44,0.0,0.0,1.0,0.0,,0.0
1970-06-10,14.44,0.0,0.0,1.0,0.0,,0.0
1970-06-11,14.44,0.0,0.0,1.0,0.0,,0.0
1970-06-12,14.44,0.0,0.0,1.0,0.0,,0.0
1970-06-13,14.44,0.0,0.0,1.0,0.0,,0.0
1970-06-14,14.44,0.0,0.0,1.0,0.0,,0.0
1970-06-15,14.44,0.0,0.0,1.0,0.0,,0.0
1970-06-16,14.44,0.0,0.0,1.0,0.0,,0.0
1970-06-17,14.44,0.0,0.0,1.0,0.0,,0.0
1970-06-18,14.44,0.0,0.0,1.0,0.0,,0.0
1970-06-19,14.44,0.0,0.0,1.0,0.0,,0.0
1970-06-20,14.44,0.0,0.0,1.0,0.0,,0.0
1970-06-21,14.44,0.0,0.0,1.0,0.0,,0.0
1970-06-22,14.44,0.0,0.0,1.0,0.0,,0.0
1970-06-23,14.44,0.0,0.0,1.0,0.0,,0.0
1970-06-24,14.44,0.0,0.0,1.0,0.0,,0.0
1970-06-25,14.44,0.0,0.0,1.0,0.0,,0.0
1970-06-26,14.44,0.0,0.0,1.0,0.0,,0.0
1970-06-27,14.44,0.0,0.0,1.0,0.0,,0.0
1970-06-28,14.44,0.0,0.0,1.0,0.0,,0.0
1970-06-29,14.44,0.0,0.0,1.0,0.0,,0.0
1970-06-30,14.44,0.0,0.0,1.0,0.0,,0.0
1970-07-01,14.44,0.0,0.0,1.0,0.0,,0.0
1970-07-02,14.44,0.0,0.0,1.0,0.0,,0.0
1970-07-03,14.44,0.0,0.0,1.0,0.0,,0.0
1970-07-04,14.44,0.0,0.0,1.0,0.0,,0.0
1970-07-05,14.44,0.0,0.0,1.0,0.0,,0.0
1970-07-06,14.44,0.0,0.0,1.0,0.0,,0.0
1970-07-07,14.44,0.0,0.0,1.0,0.0,,0.0
1970-07-08,14.44,0.0,0.0,1.0,0.0,,0.0
1970-07-09,14.44,0.0,0.0,1.0,0.0,,0.0
1970-07-10,14.44,0.0,0.0,1.0,0.0,,0.0
1970-07-11,14.44,0.0,0.0,1.0,0.0,,0.0
1970-07-12,14.44,0.0,0.0,1.0,0.0,,0.0
1970-07-13,14.44,0.0,0.0,1.0,0.0,,0.0
1970-07-14,14.44,0.0,0.0,1.0,0.0,,0.0
1970-07-15,14.44002857,0.0,0.0,1.0,0.0,,0.0
1970-07-16,14.44140017,0.0,0.0,1.0,0.0,,0.0
1970-07-17,14.44277176,0.0,0.0,1.0,0.0,,0.0
1970-07-18,14.44414335,0.0,0.0,1.0,0.0,,0.0
1970-07-19,14.44551494,0.0,0.0,1.0,0.0,,0.0
1970-07-20,14.44688653,0.0,0.0,1.0,0.0,,0.0
1970-07-21,14.44825813,0.0,0.0,1.0,0.0,,0.0
1970-07-22,14.44962972,0.0,0.0,1.0,0.0,,0.0
1970-07-23,14.45100131,0.0,0.0,1.0,0.0,,0.0
1970-07-24,14.4523729,0.0,0.0,1.0,0.0,,0.0
1970-07-25,14.45374449,0.0,0.0,1.0,0.0,,0.0
1970-07-26,14.45511609,0.0,0.0,1.0,0.0,,0.0
1970-07-27,14.45648768,0.0,0.0,1.0,0.0,,0.0
1970-07-28,14.45785927,0.0,0.0,1.0,0.0,,0.0
1970-07-29,14.45923086,0.0,0.0,1.0,0.0,,0.0
1970-07-30,14.46060245,0.0,0.0,1.0,0.0,,0.0
1970-07-31,14.46197404,0.0,0.0,1.0,0.0,,0.0
1970-08-01,14.46334564,0.0,0.0,1.0,0.0,,0.0
1970-08-02,14.46471723,0.0,0.0,1.0,0.0,,0.0
1970-08-03,14.46608882,0.0,0.0,1.0,0.0,,0.0
1970-08-04,14.46746041,0.0,0.0,1.0,0.0,,0.0
1970-08-05,14.468832,0.0,0.0,1.0,0.0,,0.0
1970-08-06,14.4702036,0.0,0.0,1.0,0.0,,0.0
1970-08-07,14.47157519,0.0,0.0,1.0,0.0,,0.0
1970-08-08,14.47294678,0.0,0.0,1.0,0.0,,0.0
1970-08-09,14.47431837,0.0,0.0,1.0,0.0,,0.0
1970-08-10,14.47568996,0.0,0.0,1.0,0.0,,0.0
1970-08-11,14.47706155,0.0,0.0,1.0,0.0,,0.0
1970-08-12,14.47843315,0.0,0.0,1.0,0.0,,0.0
1970-08-13,14.47980474,0.0,0.0,1.0,0.0,,0.0
1970-08-14,14.48053801,0.0,0.0,1.0,0.0,,0.0
1970-08-15,14.48116532,0.0,0.0,1.0,0.0,,0.0
1970-08-16,14.48179264,0.0,0.0,1.0,0.0,,0.0
1970-08-17,14.48241995,0.0,0.0,1.0,0.0,,0.0
1970-08-18,14.48304727,0.0,0.0,1.0,0.0,0.403571428571,0.403571428571
