Date,A1,A2,A3,A4,A5,A6,A7,A8
1968-08-01,9.329255319,NA,NA,NA,NA,20.45,20.45,NA
1968-08-02,9.32606383,NA,NA,NA,NA,20.45085106,20.45085106,NA
1968-08-03,9.32287234,NA,NA,NA,NA,20.45255319,20.45255319,NA
1968-08-04,9.319680851,NA,NA,NA,NA,20.45425532,20.45425532,NA
1968-08-05,9.316489362,NA,NA,NA,NA,20.45595745,20.45595745,NA
1968-08-06,9.313297872,NA,NA,NA,NA,20.45765957,20.45765957,NA
1968-08-07,9.310106383,NA,NA,NA,NA,20.4593617,20.4593617,NA
1968-08-08,9.306914894,NA,NA,NA,NA,20.46106383,20.46106383,NA
1968-08-09,9.303723404,NA,NA,NA,NA,20.46276596,20.46276596,NA
1968-08-10,9.300531915,NA,NA,NA,NA,20.46446809,20.46446809,NA
1968-08-11,9.297340426,NA,NA,NA,NA,20.46617021,20.46617021,NA
1968-08-12,9.294148936,NA,NA,NA,NA,20.46787234,20.46787234,NA
1968-08-13,9.290957447,NA,NA,NA,NA,20.46957447,20.46957447,NA
1968-08-14,9.287765957,NA,NA,NA,NA,20.4712766,20.4712766,NA
1968-08-15,9.284574468,NA,NA,NA,NA,20.47297872,20.47297872,NA
1968-08-16,9.281382979,NA,NA,NA,NA,20.47468085,20.47468085,NA
1968-08-17,9.278191489,NA,NA,NA,NA,20.47638298,20.47638298,NA
1968-08-18,9.275,NA,NA,NA,NA,20.47808511,20.47808511,NA
1968-08-19,9.271808511,NA,NA,NA,NA,20.47978723,20.47978723,NA
1968-08-20,9.268617021,NA,NA,NA,NA,20.48148936,20.48148936,NA
1968-08-21,9.265425532,NA,NA,NA,NA,20.48319149,20.48319149,NA
1968-08-22,9.262234043,NA,NA,NA,NA,20.48489362,20.48489362,NA
1968-08-23,9.259042553,NA,NA,NA,NA,20.48659574,20.48659574,NA
1968-08-24,9.255851064,NA,NA,NA,NA,20.48829787,20.48829787,NA
1968-08-25,9.252659574,NA,NA,NA,NA,20.49,20.49,NA
1968-08-26,9.249468085,NA,NA,NA,NA,20.49170213,20.49170213,NA
1968-08-27,9.246276596,NA,NA,NA,NA,20.49340426,20.49340426,NA
1968-08-28,9.243085106,NA,NA,NA,NA,20.49510638,20.49510638,NA
1968-08-29,9.239893617,NA,NA,NA,NA,20.49680851,20.49680851,NA
1968-08-30,9.236702128,NA,NA,NA,NA,20.49851064,20.49851064,NA
1968-08-31,9.233510638,NA,NA,NA,NA,20.50021277,20.50021277,NA
1968-09-01,9.230319149,NA,NA,NA,NA,20.50191489,20.50191489,NA
1968-09-02,9.22712766,NA,NA,NA,NA,20.50361702,20.50361702,NA
1968-09-03,9.22393617,NA,NA,NA,NA,20.50531915,20.50531915,NA
1968-09-04,9.220744681,NA,NA,NA,NA,20.50702128,20.50702128,NA
1968-09-05,9.217553191,NA,NA,NA,NA,20.5087234,20.5087234,NA
1968-09-06,9.214361702,NA,NA,NA,NA,20.51042553,20.51042553,NA
1968-09-07,9.211170213,NA,NA,NA,NA,20.51212766,20.51212766,NA
1968-09-08,9.207978723,NA,NA,NA,NA,20.51382979,20.51382979,NA
1968-09-09,9.204787234,NA,NA,NA,NA,20.51553191,20.51553191,NA
1968-09-10,9.201595745,NA,NA,NA,NA,20.51723404,20.51723404,NA
1968-09-11,9.201203704,NA,NA,NA,NA,20.51893617,20.51893617,NA
1968-09-12,9.203611111,NA,NA,NA,NA,20.5206383,20.5206383,NA
1968-09-13,9.206018519,NA,NA,NA,NA,20.52234043,20.52234043,NA
1968-09-14,9.208425926,NA,NA,NA,NA,20.52404255,20.52404255,NA
1968-09-15,9.210833333,NA,NA,NA,NA,20.52574468,20.52574468,NA
1968-09-16,9.213240741,NA,NA,NA,NA,20.52744681,20.52744681,NA
1968-09-17,9.215648148,NA,NA,NA,NA,20.52914894,20.52914894,NA
1968-09-18,9.218055556,NA,NA,NA,NA,20.53036585,20.53036585,NA
1968-09-19,9.220462963,NA,NA,NA,NA,20.53109756,20.53109756,NA
1968-09-20,9.22287037,NA,NA,NA,NA,20.53182927,20.53182927,NA
1968-09-21,9.225277778,NA,NA,NA,NA,20.53256098,20.53256098,NA
1968-09-22,9.227685185,NA,NA,NA,NA,20.53329268,20.53329268,NA
1968-09-23,9.230092593,NA,NA,NA,NA,20.53402439,20.53402439,NA
1968-09-24,9.2325,NA,NA,NA,NA,20.5347561,20.5347561,NA
1968-09-25,9.234907407,NA,NA,NA,NA,20.5354878,20.5354878,NA
1968-09-26,9.237314815,NA,NA,NA,NA,20.53621951,20.53621951,NA
1968-09-27,9.239722222,NA,NA,NA,NA,20.53695122,20.53695122,NA
1968-09-28,9.24212963,NA,NA,NA,NA,20.53768293,20.53768293,NA
1968-09-29,9.244537037,NA,NA,NA,NA,20.53841463,20.53841463,NA
1968-09-30,9.246944444,NA,NA,NA,NA,20.53914634,20.53914634,NA
1968-10-01,9.249351852,NA,NA,NA,NA,20.53987805,20.53987805,NA
1968-10-02,9.251759259,NA,NA,NA,NA,20.54060976,20.54060976,NA
1968-10-03,9.254166667,NA,NA,NA,NA,20.54134146,20.54134146,NA
1968-10-04,9.256574074,NA,NA,NA,NA,20.54207317,20.54207317,NA
1968-10-05,9.258981481,NA,NA,NA,NA,20.54280488,20.54280488,NA
1968-10-06,9.261388889,NA,NA,NA,NA,20.54353659,20.54353659,NA
