group,start,end,duration,dry_period,timing,flood_timing,flood_duration,flood_dry_period,sw_suitability_index
434.0,1982-01-25,1982-01-27,3.0,73,1,0.9,0.107142857143,1.0,0.523571428571
436.0,1982-03-23,1982-03-26,4.0,55,3,0.1,0.142857142857,1.0,0.301428571429
442.0,1982-05-12,1982-05-17,6.0,15,5,0.1,0.214285714286,1.0,0.337142857143
447.0,1983-05-03,1983-05-07,5.0,272,5,0.1,0.178571428571,1.0,0.319285714286
449.0,1983-05-17,1983-05-22,6.0,10,5,0.1,0.214285714286,1.0,0.337142857143
452.0,1983-07-05,1983-07-13,9.0,33,7,0.5,0.321428571429,1.0,0.510714285714
454.0,1983-07-19,1983-07-24,6.0,6,7,0.5,0.214285714286,1.0,0.457142857143
456.0,1983-07-28,1983-08-12,16.0,4,7,0.5,0.571428571429,1.0,0.635714285714
458.0,1983-08-18,1983-09-08,22.0,6,8,0.5,0.785714285714,1.0,0.742857142857
460.0,1983-09-11,1983-11-08,59.0,3,9,1.0,0.876811594203,1.0,0.938405797101
463.0,1984-01-15,1984-01-20,6.0,10,1,0.9,0.214285714286,1.0,0.577142857143
467.0,1984-03-13,1984-03-16,3.0,45,3,0.1,0.107142857143,1.0,0.283571428571
469.0,1984-03-24,1984-03-29,5.0,8,3,0.1,0.178571428571,1.0,0.319285714286
471.0,1984-04-20,1984-04-23,4.0,22,4,0.1,0.142857142857,1.0,0.301428571429
473.0,1984-05-16,1984-05-19,4.0,23,5,0.1,0.142857142857,1.0,0.301428571429
477.0,1984-08-20,1984-10-16,58.0,6,8,0.5,0.884057971014,1.0,0.792028985507
482.0,1984-11-03,1984-11-05,3.0,7,11,1.0,0.107142857143,1.0,0.553571428571
487.0,1985-03-26,1985-03-28,3.0,130,3,0.1,0.107142857143,1.0,0.283571428571
496.0,1985-08-09,1985-08-11,3.0,68,8,0.5,0.107142857143,1.0,0.403571428571
498.0,1985-08-18,1985-08-20,3.0,7,8,0.5,0.107142857143,1.0,0.403571428571
500.0,1985-08-24,1985-08-26,3.0,4,8,0.5,0.107142857143,1.0,0.403571428571
502.0,1985-08-31,1985-09-06,7.0,5,8,0.5,0.25,1.0,0.475
504.0,1985-09-19,1985-09-22,4.0,13,9,1.0,0.142857142857,1.0,0.571428571429
506.0,1985-10-18,1985-10-20,3.0,26,10,1.0,0.107142857143,1.0,0.553571428571
508.0,1985-10-26,1985-11-02,7.0,6,10,1.0,0.25,1.0,0.625
510.0,1985-11-08,1985-11-14,7.0,6,11,1.0,0.25,1.0,0.625
514.0,1985-12-07,1985-12-21,15.0,9,12,1.0,0.535714285714,1.0,0.767857142857
516.0,1985-12-25,1985-12-30,6.0,4,12,1.0,0.214285714286,1.0,0.607142857143
519.0,1986-02-18,1986-02-20,3.0,29,2,0.9,0.107142857143,1.0,0.523571428571
521.0,1986-04-17,1986-04-21,5.0,56,4,0.1,0.178571428571,1.0,0.319285714286
523.0,1986-05-25,1986-05-29,5.0,34,5,0.1,0.178571428571,1.0,0.319285714286
525.0,1986-07-03,1986-08-03,32.0,35,7,0.5,1.0,1.0,0.85
527.0,1986-08-16,1986-11-22,99.0,13,8,0.5,0.586956521739,1.0,0.64347826087
530.0,1987-01-04,1987-01-06,3.0,16,1,0.9,0.107142857143,1.0,0.523571428571
